customer_id,age,gender,purchase_amount,purchase_count,satisfaction_score,member_type
1,56,M,190.51986230442049,5,8.361998734273685,Bronze
2,69,M,68.34870443120784,7,7.7596311624955465,Bronze
3,46,M,65.50551374355909,4,7.936431934973263,Bronze
4,32,F,89.74880765880748,3,4.862233353248942,Gold
5,60,M,174.11479129444766,8,4.28773311620476,Gold
6,25,M,42.74181339452152,4,8.773891538604833,Silver
7,38,M,113.32538979228511,7,4.031052545444755,Silver
8,56,F,83.40933410349736,2,6.777709687926227,Gold
9,36,F,31.064814560107074,10,6.448446510673319,Bronze
10,40,M,210.89114354403586,6,6.3097735574853875,Bronze
11,28,M,159.66501337527325,4,7.471676233435986,Bronze
12,28,M,107.42665693848761,5,5.9836113553323225,Silver
13,41,M,190.10057185416065,6,7.593603193697572,Bronze
14,53,F,201.96206382205298,4,7.211733122036792,Silver
15,57,F,123.22453209093109,5,10.0,Bronze
16,41,F,181.40868506209324,6,4.921885912272806,Bronze
17,20,F,119.55796643719839,3,7.04390347585724,Silver
18,39,M,113.9874291728865,7,7.647017649816645,Bronze
19,19,M,96.39364190221882,7,6.615396166701556,Bronze
20,41,M,139.72203916260642,8,4.994387338168242,Bronze
21,61,F,17.2694175461279,4,8.885654170982791,Bronze
22,47,M,212.75463180521533,7,7.505401495216078,Silver
23,55,F,205.45033221429355,3,5.099654930610109,Bronze
24,19,F,2.9683511543022014,4,7.65800194383739,Bronze
25,38,M,174.76473762753136,4,9.552349105079285,Bronze
26,50,M,13.796390740375564,0,6.94552609987612,Silver
27,29,M,40.81469825093086,1,6.996680995794157,Bronze
28,39,F,136.06588031607416,1,9.352007546564979,Silver
29,61,M,17.525843472956318,7,5.54442402737312,Silver
30,42,F,170.35674221585722,5,9.591328063931023,Bronze
31,66,M,178.4590297012224,5,8.459366605552356,Silver
32,44,F,70.8195305309597,8,5.6136715540299775,Silver
33,59,F,0.6406348617415167,3,5.997596500233827,Bronze
34,45,M,33.83273427118551,5,6.212780749476566,Bronze
35,33,F,95.95294943637384,3,4.2496536790193655,Gold
36,32,F,397.3163467974408,5,7.390707623606321,Silver
37,64,M,99.91657490890634,1,5.68157949512822,Bronze
38,68,F,30.083969701011704,7,7.444826982146958,Bronze
39,61,M,100.51375279415504,2,5.063585124512175,Silver
40,69,F,77.64970067776713,4,8.384519855341749,Silver
41,20,M,151.34252301294654,6,8.106438895195753,Silver
42,54,M,11.314701729582906,7,5.9411814789096775,Bronze
43,68,F,143.14084807364827,9,7.539473736823174,Silver
44,24,F,77.92860190698894,4,7.1243808389643695,Bronze
45,38,F,329.66212777676657,1,9.223449229229367,Bronze
46,26,F,41.83560899891112,4,5.4512815481576915,Silver
47,56,F,100.13636973450231,6,6.77155303225878,Gold
48,35,M,268.86609755685515,3,6.03897454493834,Bronze
49,21,F,10.815299766527462,4,7.067227295650252,Bronze
50,42,M,276.8253926838768,2,7.79991040417539,Silver
51,31,M,116.4385883557969,6,6.0222889328894365,Bronze
52,67,F,7.02476502911083,8,6.4538406679161815,Silver
53,26,M,35.80524164282398,7,8.449061197086044,Silver
54,43,M,123.15909951213125,2,9.035986992889665,Bronze
55,19,M,6.972592739476132,6,7.740274052804318,Gold
56,37,M,87.26817290949637,9,6.793055351885261,Silver
57,45,F,42.446913151136116,3,6.650354618444276,Silver
58,64,M,96.99961904748348,8,7.822189493090935,Silver
59,24,F,4.682123927795485,7,7.341650502107307,Silver
60,61,F,205.21128448769127,6,4.526536243163045,Bronze
61,25,M,363.0194375144341,10,7.858577848461854,Bronze
62,64,F,346.9835664491751,5,5.709145315866157,Silver
63,52,F,138.490265696123,5,4.874595387286522,Bronze
64,31,F,13.936119883380577,5,4.497482667836911,Bronze
65,34,M,141.990573116036,5,6.6758434432250215,Silver
66,53,F,2.489422228251131,4,5.475213456726097,Silver
67,67,F,2.2371947734473863,10,3.5104576603912037,Bronze
68,57,F,39.09857702172302,3,6.462316739744784,Silver
69,21,M,67.068767492168,2,6.264143747671201,Silver
70,19,F,147.14489225838568,6,6.77514832801243,Bronze
71,23,M,114.97857268908189,4,6.056653068936434,Silver
72,59,M,59.041498739570855,4,9.743994495290917,Bronze
73,21,M,31.969116255840703,8,7.776005942025461,Bronze
74,46,M,585.152876165698,5,6.250580014567784,Bronze
75,35,M,55.544179011003415,4,6.9045597438289565,Bronze
76,43,M,60.03620484245429,7,9.121964001243022,Bronze
77,61,F,17.86767924545557,4,8.434934217603237,Silver
78,51,M,158.38167006373084,2,4.905682278437451,Silver
79,27,F,118.31322380365738,2,5.538564158760056,Bronze
80,53,F,24.944852945317596,3,5.827229688964989,Silver
81,31,M,8.59730569023787,3,6.340450073596287,Bronze
82,48,F,114.09958207372404,8,6.106865195685937,Bronze
83,65,F,106.2795094423143,6,7.051013882291616,Silver
84,32,F,31.918584867373966,0,8.103581966528331,Bronze
85,25,F,301.31544063851095,8,8.35399043407373,Bronze
86,31,M,16.376428319465084,5,6.509803985651064,Silver
87,40,F,56.622347250341164,4,4.547959721868406,Bronze
88,57,M,287.55684327996545,5,5.439385087192388,Silver
89,38,F,54.425714269355005,7,6.220337815554955,Bronze
90,33,F,101.75650177301027,6,5.132448311122964,Bronze
91,62,M,50.682430300913964,3,8.71128848005242,Bronze
92,35,F,32.05017300668813,4,5.230688412128908,Bronze
93,64,F,413.3770529131774,2,7.925594567102805,Bronze
